CaseID,Velocity,Peclet,Time_s,RMSE,MAE,R2,MaxAbsoluteError,MinimumConcentration,NumericalPeak,AnalyticalPeak,NumericalPeakX_m,AnalyticalPeakX_m,NumericalCentroidX_m,ExpectedCentroidX_m,NumericalSigma_m,TheoreticalSigma_m,NumericalMass,AnalyticalMass,HasNegativeConcentration,Runtime_seconds
U0.0100_T15000,0.01,1,15000,6.97281716390224e-05,3.00655162358695e-05,0.999858647768215,0.000259307192506851,1.13613568881713e-29,0.0230510609701043,0.023032943298089,160,160,160,160,17.315300562027,17.3205080756888,1.00000000000461,1,0,399.410598791667
U0.0100_T20000,0.01,1,20000,5.61571711969716e-05,2.60238959817898e-05,0.999891085383679,0.000194349384437261,2.80974797506811e-23,0.019960383775581,0.0199471140200716,210,210,210,210,19.9939899358116,20,1.00000000000615,1,0,493.297933625
U0.0125_T5000,0.0125,1.25,5000,0.000199272975202674,6.52501957892966e-05,0.999380783382871,0.000986166577738555,3.91181651858551e-68,0.0399925589291163,0.0398443914094764,72,72,72.5000000000003,72.5,9.995293076102,10,1.00000000000154,0.999999999999859,0,94.1589592916667
U0.0125_T10000,0.0125,1.25,10000,0.000118154264071863,4.60103594667136e-05,0.999679251663449,0.000489301417275156,4.84256897406626e-42,0.0282343869131925,0.0282094791773878,134,135,135,135,14.135491985675,14.142135623731,1.00000000000308,1,0,188.38378775
U0.0125_T15000,0.0125,1.25,15000,8.70993416564372e-05,3.75413865698131e-05,0.999779445532359,0.000325668040045923,4.58058279687889e-30,0.0230590594890505,0.0230233482374913,197,197,197.5,197.5,17.3123766039525,17.3205080756888,1.00000000000461,1,0,282.222788833333
U0.0125_T20000,0.0125,1.25,20000,7.01713528824715e-05,3.25182642825143e-05,0.999829942645255,0.000243809308053436,1.82446108110951e-23,0.019960592287062,0.0199471140200716,259,260,259.999999992217,260,19.9906136665096,20,1.00000000001172,0.999999999998935,0,376.232957708333
U0.0150_T5000,0.015,1.5,5000,0.000238717630797114,7.80627375085667e-05,0.999111382659967,0.00118391626664721,1.00996456094376e-71,0.0399562897013029,0.0398942280401433,84,85,85,85,9.99322939936501,10,1.00000000000154,1,0,93.7514002083333
U0.0150_T10000,0.015,1.5,10000,0.000141702528017582,5.51633796896781e-05,0.999538660319794,0.000588827930402849,1.18778623915775e-43,0.0282409287631735,0.0282094791773878,159,160,160,160,14.1325735033763,14.142135623731,1.00000000000307,1,0,187.477081291667
U0.0150_T15000,0.015,1.5,15000,0.000104502433079167,4.50684455932389e-05,0.999682503517085,0.000392307161365402,1.09259469866798e-30,0.0230552458210871,0.023032943298089,234,235,235,235,17.3088022066327,17.3205080756888,1.00000000000461,1,0,281.631265833333
U0.0150_T20000,0.015,1.5,20000,8.42127214490449e-05,3.90323664852367e-05,0.999755076440359,0.00029405953043855,9.43688515085414e-24,0.0199649680830774,0.0199471140200716,309,310,309.996681733523,310,20.0051372197911,20,1.00000162634359,0.999996986946408,0,375.693564583333
